# Mamba-DEKF Training Log (cleaned — 21 epoch summaries)
# Source: /home/alvin/demo/Mamba-DEKF/checkpoints/mamba_dekf/train.log
# Cleaned: 2026-05-17 11:26:11
#
10:32:23 [INFO] Logging to checkpoints/mamba_dekf/train.log
10:32:23 [INFO] Device: cuda
10:34:30 [INFO] Train: 679050 samples, 5305 batches (K=3)
10:34:30 [INFO] Val:   131343 samples, 1027 batches (K=3)
10:34:31 [INFO] TemporalMamba: 91,432 trainable parameters

10:36:47 [INFO] Epoch 1/100 (118.4s) | train_loss=18.8007 pos=1.5314 siz=-1.0096 ori=0.0925 contrast=0.6135 | val_loss=15.6859 val_pos=1.5342 | kappa_m=0.427 kappa_s=0.000 | NaN=0
10:39:03 [INFO] Epoch 2/100 (118.4s) | train_loss=18.8011 pos=1.5313 siz=-1.0094 ori=0.0928 contrast=0.6120 | val_loss=15.6950 val_pos=1.5349 | kappa_m=0.427 kappa_s=0.000 | NaN=0
10:41:23 [INFO] Epoch 3/100 (121.5s) | train_loss=18.7990 pos=1.5312 siz=-1.0092 ori=0.0929 contrast=0.5987 | val_loss=15.6889 val_pos=1.5345 | kappa_m=0.427 kappa_s=0.000 | NaN=0
10:43:37 [INFO] Epoch 4/100 (117.2s) | train_loss=18.8094 pos=1.5310 siz=-1.0092 ori=0.0928 contrast=0.6448 | val_loss=15.6887 val_pos=1.5346 | kappa_m=0.427 kappa_s=0.000 | NaN=0
10:45:55 [INFO] Epoch 5/100 (119.0s) | train_loss=18.8154 pos=1.5312 siz=-1.0091 ori=0.0926 contrast=0.6608 | val_loss=15.6922 val_pos=1.5347 | kappa_m=0.427 kappa_s=0.000 | NaN=0
10:48:14 [INFO] Epoch 6/100 (119.8s) | train_loss=18.7999 pos=1.5310 siz=-1.0098 ori=0.0928 contrast=0.6261 | val_loss=15.6899 val_pos=1.5347 | kappa_m=0.427 kappa_s=0.000 | NaN=0
10:50:32 [INFO] Epoch 7/100 (119.8s) | train_loss=18.8099 pos=1.5314 siz=-1.0094 ori=0.0927 contrast=0.6355 | val_loss=15.6943 val_pos=1.5348 | kappa_m=0.428 kappa_s=0.000 | NaN=0
10:52:50 [INFO] Epoch 8/100 (118.6s) | train_loss=18.7963 pos=1.5310 siz=-1.0097 ori=0.0928 contrast=0.6124 | val_loss=15.6899 val_pos=1.5348 | kappa_m=0.428 kappa_s=0.000 | NaN=0
10:55:13 [INFO] Epoch 9/100 (125.0s) | train_loss=15.5337 pos=1.5311 siz=-1.0095 ori=-0.3430 contrast=0.6219 | val_loss=15.6891 val_pos=1.5349 | kappa_m=0.428 kappa_s=0.000 | NaN=0
10:57:37 [INFO] Epoch 10/100 (125.6s) | train_loss=15.5379 pos=1.5310 siz=-1.0095 ori=-0.3431 contrast=0.6478 | val_loss=15.6896 val_pos=1.5347 | kappa_m=0.428 kappa_s=0.000 | NaN=0
10:59:59 [INFO] Epoch 11/100 (123.9s) | train_loss=15.5254 pos=1.5308 siz=-1.0093 ori=-0.3432 contrast=0.6100 | val_loss=15.6896 val_pos=1.5350 | kappa_m=0.428 kappa_s=0.000 | NaN=0
11:02:20 [INFO] Epoch 12/100 (124.1s) | train_loss=15.5397 pos=1.5312 siz=-1.0095 ori=-0.3434 contrast=0.6485 | val_loss=15.6814 val_pos=1.5344 | kappa_m=0.428 kappa_s=0.000 | NaN=0
11:04:42 [INFO] Epoch 13/100 (123.7s) | train_loss=15.5348 pos=1.5311 siz=-1.0093 ori=-0.3435 contrast=0.6371 | val_loss=15.6924 val_pos=1.5350 | kappa_m=0.429 kappa_s=0.000 | NaN=0
11:07:04 [INFO] Epoch 14/100 (124.8s) | train_loss=15.5303 pos=1.5313 siz=-1.0092 ori=-0.3436 contrast=0.6120 | val_loss=15.6909 val_pos=1.5350 | kappa_m=0.429 kappa_s=0.000 | NaN=0
11:09:26 [INFO] Epoch 15/100 (124.2s) | train_loss=15.5400 pos=1.5312 siz=-1.0091 ori=-0.3437 contrast=0.6502 | val_loss=15.6930 val_pos=1.5352 | kappa_m=0.429 kappa_s=0.000 | NaN=0
11:11:48 [INFO] Epoch 16/100 (124.4s) | train_loss=15.5260 pos=1.5310 siz=-1.0096 ori=-0.3437 contrast=0.6210 | val_loss=15.6786 val_pos=1.5346 | kappa_m=0.429 kappa_s=0.000 | NaN=0
11:14:09 [INFO] Epoch 17/100 (123.2s) | train_loss=15.5183 pos=1.5309 siz=-1.0095 ori=-0.3439 contrast=0.6036 | val_loss=15.6840 val_pos=1.5345 | kappa_m=0.429 kappa_s=0.000 | NaN=0
11:16:30 [INFO] Epoch 18/100 (124.6s) | train_loss=15.5288 pos=1.5313 siz=-1.0094 ori=-0.3439 contrast=0.6164 | val_loss=15.6730 val_pos=1.5343 | kappa_m=0.429 kappa_s=0.000 | NaN=0
11:18:52 [INFO] Epoch 19/100 (123.5s) | train_loss=15.5135 pos=1.5311 siz=-1.0092 ori=-0.3441 contrast=0.5816 | val_loss=15.6787 val_pos=1.5344 | kappa_m=0.429 kappa_s=0.000 | NaN=0
11:21:13 [INFO] Epoch 20/100 (122.8s) | train_loss=15.5316 pos=1.5311 siz=-1.0092 ori=-0.3441 contrast=0.6409 | val_loss=15.6795 val_pos=1.5347 | kappa_m=0.430 kappa_s=0.000 | NaN=0
11:23:34 [INFO] Epoch 21/100 (122.2s) | train_loss=15.5303 pos=1.5314 siz=-1.0097 ori=-0.3442 contrast=0.6309 | val_loss=15.6718 val_pos=1.5344 | kappa_m=0.430 kappa_s=0.000 | NaN=0
