# Mamba-Decoupled-EKF Training Log (cleaned — epoch summaries only)
# Config: train_nuscenes.yaml  |  Samples: Train=679,050  Val=131,343  K=3
# Model: TemporalMamba  |  Params: 89,154  |  Device: cuda
#
12:34:10 [INFO] Train: 679050 samples, 5305 batches (K=3)
12:34:10 [INFO] Val:   131343 samples, 1027 batches (K=3)
12:34:10 [INFO] TemporalMamba: 89,154 trainable parameters
12:36:36 [INFO] Epoch 1/100 (127.7s) | train_loss=-89.9885 pos=1.5312 siz=-3.2146 ori=-0.2685 contrast=0.6930 | val_loss=-76.1845 val_pos=1.5345 | kappa_m=0.340 kappa_s=0.038 | NaN=0
12:38:56 [INFO] Epoch 2/100 (122.5s) | train_loss=-69.5131 pos=1.5313 siz=-3.2143 ori=-0.0139 contrast=0.8692 | val_loss=-67.0782 val_pos=1.5349 | kappa_m=0.016 kappa_s=0.007 | NaN=0
12:41:15 [INFO] Epoch 3/100 (121.8s) | train_loss=-68.5330 pos=1.5313 siz=-3.2132 ori=-0.0025 contrast=0.9047 | val_loss=-66.8785 val_pos=1.5349 | kappa_m=0.003 kappa_s=0.001 | NaN=0
12:43:32 [INFO] Epoch 4/100 (119.5s) | train_loss=-68.3503 pos=1.5315 siz=-3.2113 ori=-0.0014 contrast=0.8724 | val_loss=-66.7422 val_pos=1.5347 | kappa_m=0.002 kappa_s=0.001 | NaN=0
12:45:51 [INFO] Epoch 5/100 (122.8s) | train_loss=-68.4324 pos=1.5313 siz=-3.2129 ori=-0.0011 contrast=0.8475 | val_loss=-66.6224 val_pos=1.5355 | kappa_m=0.001 kappa_s=0.000 | NaN=0
12:48:13 [INFO] Epoch 6/100 (123.6s) | train_loss=-68.4141 pos=1.5312 siz=-3.2132 ori=-0.0011 contrast=0.9166 | val_loss=-66.9071 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
12:50:32 [INFO] Epoch 7/100 (121.1s) | train_loss=-68.4092 pos=1.5313 siz=-3.2126 ori=-0.0010 contrast=0.8566 | val_loss=-66.6818 val_pos=1.5355 | kappa_m=0.001 kappa_s=0.000 | NaN=0
12:52:52 [INFO] Epoch 8/100 (121.3s) | train_loss=-68.3910 pos=1.5312 siz=-3.2125 ori=-0.0010 contrast=0.8804 | val_loss=-66.6766 val_pos=1.5345 | kappa_m=0.001 kappa_s=0.000 | NaN=0
12:55:12 [INFO] Epoch 9/100 (122.1s) | train_loss=-68.3858 pos=1.5313 siz=-3.2127 ori=-0.0010 contrast=0.8975 | val_loss=-66.7291 val_pos=1.5347 | kappa_m=0.001 kappa_s=0.000 | NaN=0
12:57:29 [INFO] Epoch 10/100 (119.0s) | train_loss=-68.4769 pos=1.5313 siz=-3.2141 ori=-0.0010 contrast=0.8575 | val_loss=-66.5973 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
12:59:46 [INFO] Epoch 11/100 (119.9s) | train_loss=-68.3536 pos=1.5312 siz=-3.2121 ori=-0.0010 contrast=0.9083 | val_loss=-66.8037 val_pos=1.5349 | kappa_m=0.001 kappa_s=0.000 | NaN=0
