# Mamba-DEKF Training Log (cleaned — 29 epoch summaries)
# Source: /home/alvin/demo/Mamba-DEKF/checkpoints/mamba_dekf/train.log
# Cleaned: 2026-05-18 09:16:57
#
19:13:27 [INFO] Logging to checkpoints/mamba_dekf/train.log
19:13:27 [INFO] Device: cuda
19:13:51 [INFO] Logging to checkpoints/mamba_dekf/train.log
19:13:51 [INFO] Device: cuda
19:14:05 [INFO] Train: 679050 samples, 5305 batches (K=3)
19:14:05 [INFO] Val:   131343 samples, 1027 batches (K=3)
19:14:05 [INFO] TemporalMamba: 91,432 trainable parameters
09:09:49 [INFO] Logging to checkpoints/mamba_dekf/train.log
09:09:49 [INFO] Device: cuda
09:15:05 [INFO] Logging to checkpoints/mamba_dekf/train.log
09:15:05 [INFO] Device: cuda
09:15:18 [INFO] Train: 679050 samples, 5305 batches (K=3)
09:15:18 [INFO] Val:   131343 samples, 1027 batches (K=3)
09:15:18 [INFO] TemporalMamba: 91,432 trainable parameters

19:16:39 [INFO] Epoch 1/100 (134.2s) | train_loss=18.7922 pos=1.5311 siz=-1.0093 ori=0.0930 contrast=0.5852 | val_loss=15.6421 val_pos=1.5350 | kappa_m=0.427 kappa_s=0.000 | NaN=0
19:19:08 [INFO] Epoch 2/100 (130.6s) | train_loss=18.7310 pos=1.5312 siz=-1.0096 ori=0.0928 contrast=0.3806 | val_loss=15.5874 val_pos=1.5351 | kappa_m=0.427 kappa_s=0.000 | NaN=0
19:21:39 [INFO] Epoch 3/100 (131.6s) | train_loss=18.7196 pos=1.5314 siz=-1.0092 ori=0.0929 contrast=0.3253 | val_loss=15.5720 val_pos=1.5347 | kappa_m=0.427 kappa_s=0.000 | NaN=0
19:24:10 [INFO] Epoch 4/100 (131.5s) | train_loss=18.7087 pos=1.5314 siz=-1.0093 ori=0.0928 contrast=0.2968 | val_loss=15.5663 val_pos=1.5350 | kappa_m=0.427 kappa_s=0.000 | NaN=0
19:26:39 [INFO] Epoch 5/100 (130.0s) | train_loss=18.6868 pos=1.5312 siz=-1.0093 ori=0.0926 contrast=0.2374 | val_loss=15.5580 val_pos=1.5349 | kappa_m=0.427 kappa_s=0.000 | NaN=0
19:29:08 [INFO] Epoch 6/100 (130.4s) | train_loss=18.6812 pos=1.5312 siz=-1.0096 ori=0.0928 contrast=0.2187 | val_loss=15.5435 val_pos=1.5347 | kappa_m=0.427 kappa_s=0.000 | NaN=0
19:31:36 [INFO] Epoch 7/100 (129.6s) | train_loss=18.6656 pos=1.5311 siz=-1.0098 ori=0.0926 contrast=0.1759 | val_loss=15.5392 val_pos=1.5349 | kappa_m=0.428 kappa_s=0.000 | NaN=0
19:34:06 [INFO] Epoch 8/100 (130.9s) | train_loss=18.6667 pos=1.5312 siz=-1.0094 ori=0.0926 contrast=0.1740 | val_loss=15.5237 val_pos=1.5346 | kappa_m=0.428 kappa_s=0.000 | NaN=0
19:39:39 [INFO] Epoch 9/100 (315.0s) | train_loss=-9.9642 pos=0.1639 siz=-1.1932 ori=-0.8725 contrast=0.2882 | val_loss=-9.4794 val_pos=0.1740 | kappa_m=13.733 kappa_s=11.471 | NaN=0
19:45:12 [INFO] Epoch 10/100 (314.9s) | train_loss=-9.9937 pos=0.1492 siz=-1.2621 ori=-0.8008 contrast=0.2836 | val_loss=-9.8610 val_pos=0.1685 | kappa_m=14.644 kappa_s=13.539 | NaN=0
19:50:44 [INFO] Epoch 11/100 (314.5s) | train_loss=-10.1821 pos=0.1457 siz=-1.2658 ori=-0.8164 contrast=0.2801 | val_loss=-9.7581 val_pos=0.1660 | kappa_m=14.348 kappa_s=13.479 | NaN=0
