# Mamba-DEKF Training Log (cleaned — 100 epoch summaries)
# Source: /home/alvin/demo/Mamba-DEKF/checkpoints/trainlog_history/0519_train.log
# Cleaned: 2026-05-20 08:51:21
#
21:34:01 [INFO] Logging to checkpoints/mamba_dekf/train.log
21:34:01 [INFO] Device: cuda
21:34:16 [INFO] Train: 679050 samples, 5305 batches (K=3)
21:34:16 [INFO] Val:   131343 samples, 1027 batches (K=3)
21:34:17 [INFO] TemporalMamba: 141,608 trainable parameters
21:38:22 [INFO] Logging to checkpoints/mamba_dekf/train.log
21:38:22 [INFO] Device: cuda
21:40:40 [INFO] Train: 679050 samples, 5305 batches (K=3)
21:40:40 [INFO] Val:   131343 samples, 1027 batches (K=3)
21:40:40 [INFO] TemporalMamba: 303,144 trainable parameters

21:43:17 [INFO] Epoch 1/100 (135.2s) | loss=33.9327 (raw=34.0436) pos=1.5313 siz=-1.0093 ori=0.0856 vel=0.0000 contrast=0.5545 | val=62.7917 val_pos=2.8526 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
21:45:52 [INFO] Epoch 2/100 (135.0s) | loss=33.9147 (raw=33.9965) pos=1.5312 siz=-1.0096 ori=0.0855 vel=0.0000 contrast=0.4092 | val=62.8255 val_pos=2.8545 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
21:48:28 [INFO] Epoch 3/100 (135.5s) | loss=33.9154 (raw=33.9880) pos=1.5314 siz=-1.0095 ori=0.0855 vel=0.0000 contrast=0.3631 | val=62.8033 val_pos=2.8537 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
21:51:04 [INFO] Epoch 4/100 (135.6s) | loss=33.9085 (raw=33.9716) pos=1.5313 siz=-1.0094 ori=0.0855 vel=0.0000 contrast=0.3155 | val=62.8000 val_pos=2.8535 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
21:53:39 [INFO] Epoch 5/100 (135.5s) | loss=33.9075 (raw=33.9685) pos=1.5313 siz=-1.0093 ori=0.0854 vel=0.0000 contrast=0.3051 | val=62.8040 val_pos=2.8540 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
21:59:06 [INFO] Epoch 6/100 (306.6s) | loss=-12.0012 (raw=-11.9494) pos=0.1644 siz=-1.1945 ori=-1.3571 vel=0.0000 contrast=0.3049 | val=11.5014 val_pos=1.1164 | k_m=6.81 k_s=0.97 k_reg=0.0092 dp_reg=0.0000 | NaN=0
22:04:30 [INFO] Epoch 7/100 (305.1s) | loss=-12.7499 (raw=-12.6935) pos=0.1494 siz=-1.2623 ori=-1.3610 vel=0.0000 contrast=0.3004 | val=11.7301 val_pos=1.1276 | k_m=5.66 k_s=0.44 k_reg=0.0034 dp_reg=0.0003 | NaN=0
22:10:01 [INFO] Epoch 8/100 (310.4s) | loss=-12.8914 (raw=-12.8339) pos=0.1448 siz=-1.2658 ori=-1.3624 vel=0.0000 contrast=0.3128 | val=11.5649 val_pos=1.1204 | k_m=5.80 k_s=0.51 k_reg=0.0042 dp_reg=0.0009 | NaN=0
22:16:04 [INFO] Epoch 9/100 (343.6s) | loss=5.5172 (raw=5.5760) pos=0.8812 siz=-1.2664 ori=-1.3621 vel=0.7154 contrast=0.3117 | val=6.1194 val_pos=0.9040 | k_m=5.66 k_s=0.46 k_reg=0.0035 dp_reg=0.0000 | NaN=0
22:21:54 [INFO] Epoch 10/100 (331.0s) | loss=5.3162 (raw=5.3697) pos=0.8732 siz=-1.2661 ori=-1.3621 vel=0.7117 contrast=0.2828 | val=6.0350 val_pos=0.9003 | k_m=5.59 k_s=0.44 k_reg=0.0031 dp_reg=0.0000 | NaN=0
22:28:04 [INFO] Epoch 11/100 (350.9s) | loss=5.3408 (raw=5.3950) pos=0.8741 siz=-1.2663 ori=-1.3617 vel=0.7112 contrast=0.2870 | val=6.0523 val_pos=0.9007 | k_m=5.61 k_s=0.46 k_reg=0.0032 dp_reg=0.0000 | NaN=0
22:34:10 [INFO] Epoch 12/100 (346.9s) | loss=5.2295 (raw=5.2831) pos=0.8699 siz=-1.2663 ori=-1.3623 vel=0.7103 contrast=0.2832 | val=6.0192 val_pos=0.8996 | k_m=5.58 k_s=0.45 k_reg=0.0031 dp_reg=0.0000 | NaN=0
22:40:19 [INFO] Epoch 13/100 (349.0s) | loss=5.2171 (raw=5.2645) pos=0.8693 siz=-1.2659 ori=-1.3619 vel=0.7092 contrast=0.2515 | val=5.9657 val_pos=0.8979 | k_m=5.55 k_s=0.43 k_reg=0.0029 dp_reg=0.0000 | NaN=0
22:46:28 [INFO] Epoch 14/100 (348.9s) | loss=5.1997 (raw=5.2487) pos=0.8686 siz=-1.2661 ori=-1.3619 vel=0.7090 contrast=0.2586 | val=5.8560 val_pos=0.8926 | k_m=5.52 k_s=0.42 k_reg=0.0027 dp_reg=0.0000 | NaN=0
22:52:40 [INFO] Epoch 15/100 (351.6s) | loss=5.2034 (raw=5.2518) pos=0.8690 siz=-1.2663 ori=-1.3624 vel=0.7097 contrast=0.2552 | val=5.9043 val_pos=0.8949 | k_m=5.50 k_s=0.42 k_reg=0.0026 dp_reg=0.0000 | NaN=0
22:58:46 [INFO] Epoch 16/100 (346.1s) | loss=5.1920 (raw=5.2363) pos=0.8684 siz=-1.2663 ori=-1.3618 vel=0.7102 contrast=0.2342 | val=5.8834 val_pos=0.8939 | k_m=5.49 k_s=0.42 k_reg=0.0026 dp_reg=0.0000 | NaN=0
23:04:59 [INFO] Epoch 17/100 (351.9s) | loss=5.2080 (raw=5.2557) pos=0.8690 siz=-1.2661 ori=-1.3620 vel=0.7091 contrast=0.2510 | val=5.8521 val_pos=0.8931 | k_m=5.47 k_s=0.41 k_reg=0.0025 dp_reg=0.0000 | NaN=0
23:11:13 [INFO] Epoch 18/100 (354.4s) | loss=5.1561 (raw=5.2025) pos=0.8670 siz=-1.2664 ori=-1.3618 vel=0.7087 contrast=0.2441 | val=5.8251 val_pos=0.8921 | k_m=5.45 k_s=0.40 k_reg=0.0024 dp_reg=0.0000 | NaN=0
23:17:23 [INFO] Epoch 19/100 (348.9s) | loss=5.1850 (raw=5.2256) pos=0.8683 siz=-1.2660 ori=-1.3621 vel=0.7097 contrast=0.2148 | val=5.7891 val_pos=0.8905 | k_m=5.46 k_s=0.39 k_reg=0.0024 dp_reg=0.0000 | NaN=0
23:23:37 [INFO] Epoch 20/100 (354.5s) | loss=5.2141 (raw=5.2538) pos=0.8695 siz=-1.2662 ori=-1.3621 vel=0.7102 contrast=0.2106 | val=5.8141 val_pos=0.8908 | k_m=5.45 k_s=0.39 k_reg=0.0024 dp_reg=0.0000 | NaN=0
23:29:56 [INFO] Epoch 21/100 (358.7s) | loss=5.1987 (raw=5.2361) pos=0.8690 siz=-1.2663 ori=-1.3622 vel=0.7098 contrast=0.1990 | val=5.9851 val_pos=0.8984 | k_m=5.44 k_s=0.39 k_reg=0.0023 dp_reg=0.0000 | NaN=0
23:35:46 [INFO] Epoch 22/100 (329.9s) | loss=5.1441 (raw=5.1851) pos=0.8668 siz=-1.2664 ori=-1.3624 vel=0.7089 contrast=0.2160 | val=5.8674 val_pos=0.8935 | k_m=5.42 k_s=0.38 k_reg=0.0022 dp_reg=0.0000 | NaN=0
23:42:02 [INFO] Epoch 23/100 (356.1s) | loss=5.1194 (raw=5.1570) pos=0.8658 siz=-1.2662 ori=-1.3622 vel=0.7084 contrast=0.1990 | val=5.9165 val_pos=0.8955 | k_m=5.41 k_s=0.37 k_reg=0.0022 dp_reg=0.0000 | NaN=0
23:48:15 [INFO] Epoch 24/100 (353.4s) | loss=5.1098 (raw=5.1457) pos=0.8654 siz=-1.2665 ori=-1.3619 vel=0.7091 contrast=0.1902 | val=5.7735 val_pos=0.8900 | k_m=5.40 k_s=0.36 k_reg=0.0021 dp_reg=0.0000 | NaN=0
23:54:28 [INFO] Epoch 25/100 (351.5s) | loss=5.1463 (raw=5.1827) pos=0.8669 siz=-1.2663 ori=-1.3623 vel=0.7093 contrast=0.1923 | val=5.8536 val_pos=0.8929 | k_m=5.39 k_s=0.37 k_reg=0.0021 dp_reg=0.0000 | NaN=0
00:00:40 [INFO] Epoch 26/100 (352.5s) | loss=5.1510 (raw=5.1871) pos=0.8670 siz=-1.2660 ori=-1.3619 vel=0.7094 contrast=0.1911 | val=5.8635 val_pos=0.8937 | k_m=5.38 k_s=0.36 k_reg=0.0021 dp_reg=0.0000 | NaN=0
00:06:55 [INFO] Epoch 27/100 (354.5s) | loss=5.1139 (raw=5.1542) pos=0.8654 siz=-1.2664 ori=-1.3618 vel=0.7085 contrast=0.2114 | val=5.7942 val_pos=0.8914 | k_m=5.36 k_s=0.35 k_reg=0.0020 dp_reg=0.0000 | NaN=0
00:13:07 [INFO] Epoch 28/100 (352.3s) | loss=5.1152 (raw=5.1449) pos=0.8658 siz=-1.2661 ori=-1.3622 vel=0.7088 contrast=0.1584 | val=5.7355 val_pos=0.8885 | k_m=5.37 k_s=0.36 k_reg=0.0020 dp_reg=0.0000 | NaN=0
00:19:19 [INFO] Epoch 29/100 (352.3s) | loss=5.0971 (raw=5.1318) pos=0.8649 siz=-1.2662 ori=-1.3619 vel=0.7089 contrast=0.1831 | val=5.8238 val_pos=0.8915 | k_m=5.34 k_s=0.35 k_reg=0.0018 dp_reg=0.0000 | NaN=0
00:25:32 [INFO] Epoch 30/100 (354.1s) | loss=5.1162 (raw=5.1482) pos=0.8656 siz=-1.2662 ori=-1.3617 vel=0.7083 contrast=0.1689 | val=5.9843 val_pos=0.8988 | k_m=5.33 k_s=0.35 k_reg=0.0018 dp_reg=0.0000 | NaN=0
00:31:44 [INFO] Epoch 31/100 (352.1s) | loss=5.0843 (raw=5.1160) pos=0.8645 siz=-1.2658 ori=-1.3624 vel=0.7089 contrast=0.1670 | val=5.7631 val_pos=0.8901 | k_m=5.32 k_s=0.34 k_reg=0.0018 dp_reg=0.0000 | NaN=0
00:37:57 [INFO] Epoch 32/100 (351.8s) | loss=5.0502 (raw=5.0848) pos=0.8631 siz=-1.2659 ori=-1.3623 vel=0.7072 contrast=0.1820 | val=5.7855 val_pos=0.8910 | k_m=5.33 k_s=0.36 k_reg=0.0018 dp_reg=0.0000 | NaN=0
00:44:11 [INFO] Epoch 33/100 (354.4s) | loss=5.0501 (raw=5.0811) pos=0.8633 siz=-1.2660 ori=-1.3627 vel=0.7083 contrast=0.1640 | val=5.8511 val_pos=0.8934 | k_m=5.32 k_s=0.35 k_reg=0.0017 dp_reg=0.0000 | NaN=0
00:50:26 [INFO] Epoch 34/100 (354.6s) | loss=5.0454 (raw=5.0760) pos=0.8631 siz=-1.2659 ori=-1.3627 vel=0.7071 contrast=0.1619 | val=5.8663 val_pos=0.8937 | k_m=5.32 k_s=0.35 k_reg=0.0017 dp_reg=0.0000 | NaN=0
00:56:39 [INFO] Epoch 35/100 (353.2s) | loss=5.0545 (raw=5.0890) pos=0.8632 siz=-1.2663 ori=-1.3620 vel=0.7071 contrast=0.1815 | val=5.8732 val_pos=0.8949 | k_m=5.32 k_s=0.35 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:02:56 [INFO] Epoch 36/100 (356.4s) | loss=5.0132 (raw=5.0456) pos=0.8619 siz=-1.2663 ori=-1.3630 vel=0.7072 contrast=0.1708 | val=5.8334 val_pos=0.8923 | k_m=5.32 k_s=0.36 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:09:04 [INFO] Epoch 37/100 (348.7s) | loss=5.0595 (raw=5.0913) pos=0.8633 siz=-1.2660 ori=-1.3614 vel=0.7077 contrast=0.1677 | val=5.7484 val_pos=0.8897 | k_m=5.32 k_s=0.36 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:15:15 [INFO] Epoch 38/100 (350.2s) | loss=5.0905 (raw=5.1187) pos=0.8649 siz=-1.2662 ori=-1.3624 vel=0.7087 contrast=0.1496 | val=5.8158 val_pos=0.8919 | k_m=5.32 k_s=0.37 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:21:28 [INFO] Epoch 39/100 (352.8s) | loss=5.0310 (raw=5.0594) pos=0.8623 siz=-1.2662 ori=-1.3617 vel=0.7075 contrast=0.1510 | val=5.7593 val_pos=0.8900 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:27:41 [INFO] Epoch 40/100 (352.6s) | loss=5.0303 (raw=5.0602) pos=0.8625 siz=-1.2661 ori=-1.3626 vel=0.7068 contrast=0.1582 | val=5.7456 val_pos=0.8888 | k_m=5.31 k_s=0.36 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:33:47 [INFO] Epoch 41/100 (346.1s) | loss=5.0419 (raw=5.0722) pos=0.8628 siz=-1.2663 ori=-1.3621 vel=0.7075 contrast=0.1601 | val=5.8713 val_pos=0.8938 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:40:05 [INFO] Epoch 42/100 (357.1s) | loss=5.0509 (raw=5.0777) pos=0.8634 siz=-1.2661 ori=-1.3628 vel=0.7087 contrast=0.1428 | val=5.7591 val_pos=0.8896 | k_m=5.32 k_s=0.37 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:46:18 [INFO] Epoch 43/100 (353.9s) | loss=5.0240 (raw=5.0533) pos=0.8622 siz=-1.2667 ori=-1.3619 vel=0.7077 contrast=0.1554 | val=5.8611 val_pos=0.8939 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:52:34 [INFO] Epoch 44/100 (355.6s) | loss=5.0293 (raw=5.0602) pos=0.8622 siz=-1.2660 ori=-1.3617 vel=0.7080 contrast=0.1632 | val=5.7212 val_pos=0.8884 | k_m=5.32 k_s=0.36 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:58:40 [INFO] Epoch 45/100 (345.5s) | loss=4.9919 (raw=5.0184) pos=0.8609 siz=-1.2659 ori=-1.3621 vel=0.7075 contrast=0.1409 | val=5.7198 val_pos=0.8877 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:04:58 [INFO] Epoch 46/100 (356.8s) | loss=5.0073 (raw=5.0358) pos=0.8614 siz=-1.2662 ori=-1.3618 vel=0.7071 contrast=0.1512 | val=5.7504 val_pos=0.8890 | k_m=5.32 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:11:13 [INFO] Epoch 47/100 (356.3s) | loss=5.0237 (raw=5.0534) pos=0.8622 siz=-1.2661 ori=-1.3625 vel=0.7077 contrast=0.1571 | val=5.8272 val_pos=0.8924 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:17:29 [INFO] Epoch 48/100 (354.9s) | loss=5.0372 (raw=5.0656) pos=0.8626 siz=-1.2661 ori=-1.3619 vel=0.7080 contrast=0.1505 | val=5.8423 val_pos=0.8933 | k_m=5.30 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:23:41 [INFO] Epoch 49/100 (352.5s) | loss=5.0342 (raw=5.0627) pos=0.8628 siz=-1.2664 ori=-1.3628 vel=0.7077 contrast=0.1511 | val=5.7645 val_pos=0.8898 | k_m=5.32 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:29:52 [INFO] Epoch 50/100 (350.3s) | loss=5.0037 (raw=5.0346) pos=0.8614 siz=-1.2660 ori=-1.3625 vel=0.7073 contrast=0.1629 | val=5.8703 val_pos=0.8945 | k_m=5.30 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
