# Mamba-DEKF Training Log (cleaned — 75 epoch summaries)
# Source: /home/alvin/demo/Mamba-DEKF/checkpoints/trainlog_history/0530_train.log
# Cleaned: 2026-05-30 08:46:55
#
22:48:34 [INFO] Logging to checkpoints/mamba_dekf/train.log
22:48:34 [INFO] Device: cuda
22:48:47 [INFO] Train: 482130 samples, 3766 batches (K=4)
22:48:47 [INFO] Val:   91164 samples, 713 batches (K=4)
22:48:47 [INFO] TemporalMamba: 460,584 trainable parameters

22:55:44 [INFO] Epoch 1/100 (390.6s) | loss=31.4055 (raw=31.5590) pos=1.4240 siz=-1.0010 ori=0.0717 vel=0.0000 nis=0.4420 ua=0.00 contrast=0.6821 | val=35.3778 val_pos=1.7494 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
23:02:43 [INFO] Epoch 2/100 (390.7s) | loss=31.3861 (raw=31.4792) pos=1.4240 siz=-1.0009 ori=0.0717 vel=0.0000 nis=0.4420 ua=0.00 contrast=0.4141 | val=35.3657 val_pos=1.7496 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
23:09:45 [INFO] Epoch 3/100 (396.0s) | loss=31.3792 (raw=31.4460) pos=1.4240 siz=-1.0006 ori=0.0718 vel=0.0000 nis=0.4420 ua=0.00 contrast=0.2970 | val=35.3687 val_pos=1.7497 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
23:16:45 [INFO] Epoch 4/100 (391.4s) | loss=31.3822 (raw=31.4404) pos=1.4242 siz=-1.0004 ori=0.0719 vel=0.0000 nis=0.4420 ua=0.00 contrast=0.2585 | val=35.3640 val_pos=1.7495 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
23:23:52 [INFO] Epoch 5/100 (397.0s) | loss=31.3790 (raw=31.4275) pos=1.4242 siz=-1.0001 ori=0.0718 vel=0.0000 nis=0.4420 ua=0.00 contrast=0.2156 | val=35.3615 val_pos=1.7496 | k_m=0.63 k_s=0.00 k_reg=0.0000 dp_reg=0.0000 | NaN=0
23:30:58 [INFO] Epoch 6/100 (397.1s) | loss=-14.0994 (raw=-14.0595) pos=-0.2627 siz=-1.2031 ori=-0.2291 vel=0.0000 nis=0.3725 ua=0.20 contrast=0.1831 | val=-22.2823 val_pos=-0.2331 | k_m=5.10 k_s=0.36 k_reg=0.0011 dp_reg=0.0002 | NaN=0
23:38:58 [INFO] Epoch 7/100 (451.1s) | loss=-17.4413 (raw=-17.3995) pos=-0.2994 siz=-1.2427 ori=-0.5251 vel=-0.0718 nis=0.3622 ua=0.40 contrast=0.1916 | val=-23.3623 val_pos=-0.2741 | k_m=5.21 k_s=0.29 k_reg=0.0012 dp_reg=0.0001 | NaN=0
23:46:58 [INFO] Epoch 8/100 (451.6s) | loss=-19.8032 (raw=-19.7704) pos=-0.3051 siz=-1.2463 ori=-0.8184 vel=-0.0762 nis=0.3617 ua=0.60 contrast=0.1524 | val=-23.5424 val_pos=-0.2803 | k_m=5.28 k_s=0.32 k_reg=0.0015 dp_reg=0.0001 | NaN=0
23:55:04 [INFO] Epoch 9/100 (457.0s) | loss=-22.1081 (raw=-22.0717) pos=-0.3093 siz=-1.2474 ori=-1.1112 vel=-0.0772 nis=0.3614 ua=0.80 contrast=0.1698 | val=-23.5625 val_pos=-0.2808 | k_m=5.33 k_s=0.37 k_reg=0.0018 dp_reg=0.0001 | NaN=0
00:03:10 [INFO] Epoch 10/100 (459.2s) | loss=-24.3508 (raw=-24.3150) pos=-0.3112 siz=-1.2475 ori=-1.4038 vel=-0.0786 nis=0.3613 ua=1.00 contrast=0.1690 | val=-23.6768 val_pos=-0.2859 | k_m=5.40 k_s=0.40 k_reg=0.0022 dp_reg=0.0001 | NaN=0
00:11:02 [INFO] Epoch 11/100 (446.2s) | loss=-24.3514 (raw=-24.3200) pos=-0.3111 siz=-1.2477 ori=-1.4038 vel=-0.0786 nis=0.3609 ua=1.00 contrast=0.1494 | val=-23.7082 val_pos=-0.2876 | k_m=5.39 k_s=0.41 k_reg=0.0021 dp_reg=0.0000 | NaN=0
00:18:56 [INFO] Epoch 12/100 (448.1s) | loss=-24.4320 (raw=-24.3892) pos=-0.3145 siz=-1.2475 ori=-1.4038 vel=-0.0800 nis=0.3608 ua=1.00 contrast=0.1997 | val=-23.7312 val_pos=-0.2872 | k_m=5.38 k_s=0.42 k_reg=0.0021 dp_reg=0.0000 | NaN=0
00:26:55 [INFO] Epoch 13/100 (453.7s) | loss=-24.4158 (raw=-24.3807) pos=-0.3140 siz=-1.2474 ori=-1.4031 vel=-0.0795 nis=0.3607 ua=1.00 contrast=0.1654 | val=-23.7426 val_pos=-0.2884 | k_m=5.39 k_s=0.41 k_reg=0.0021 dp_reg=0.0000 | NaN=0
00:34:56 [INFO] Epoch 14/100 (453.9s) | loss=-24.4393 (raw=-24.4045) pos=-0.3152 siz=-1.2471 ori=-1.4026 vel=-0.0800 nis=0.3609 ua=1.00 contrast=0.1637 | val=-23.7435 val_pos=-0.2880 | k_m=5.37 k_s=0.42 k_reg=0.0020 dp_reg=0.0000 | NaN=0
00:42:57 [INFO] Epoch 15/100 (453.9s) | loss=-24.4669 (raw=-24.4339) pos=-0.3157 siz=-1.2473 ori=-1.4041 vel=-0.0802 nis=0.3606 ua=1.00 contrast=0.1558 | val=-23.7683 val_pos=-0.2891 | k_m=5.36 k_s=0.41 k_reg=0.0020 dp_reg=0.0000 | NaN=0
00:51:04 [INFO] Epoch 16/100 (459.9s) | loss=-24.4786 (raw=-24.4450) pos=-0.3164 siz=-1.2471 ori=-1.4037 vel=-0.0802 nis=0.3609 ua=1.00 contrast=0.1577 | val=-23.7815 val_pos=-0.2894 | k_m=5.35 k_s=0.42 k_reg=0.0019 dp_reg=0.0000 | NaN=0
00:59:14 [INFO] Epoch 17/100 (462.1s) | loss=-24.4953 (raw=-24.4610) pos=-0.3172 siz=-1.2471 ori=-1.4032 vel=-0.0803 nis=0.3607 ua=1.00 contrast=0.1606 | val=-23.8002 val_pos=-0.2907 | k_m=5.34 k_s=0.41 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:07:13 [INFO] Epoch 18/100 (452.5s) | loss=-24.5036 (raw=-24.4730) pos=-0.3172 siz=-1.2473 ori=-1.4040 vel=-0.0802 nis=0.3606 ua=1.00 contrast=0.1448 | val=-23.7276 val_pos=-0.2875 | k_m=5.34 k_s=0.42 k_reg=0.0019 dp_reg=0.0000 | NaN=0
01:15:14 [INFO] Epoch 19/100 (454.5s) | loss=-24.5352 (raw=-24.5021) pos=-0.3185 siz=-1.2472 ori=-1.4041 vel=-0.0802 nis=0.3605 ua=1.00 contrast=0.1555 | val=-23.7876 val_pos=-0.2902 | k_m=5.34 k_s=0.43 k_reg=0.0019 dp_reg=0.0000 | NaN=0
01:23:16 [INFO] Epoch 20/100 (456.7s) | loss=-24.5276 (raw=-24.4979) pos=-0.3181 siz=-1.2469 ori=-1.4044 vel=-0.0795 nis=0.3606 ua=1.00 contrast=0.1401 | val=-23.8271 val_pos=-0.2915 | k_m=5.33 k_s=0.42 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:31:14 [INFO] Epoch 21/100 (451.8s) | loss=-24.5377 (raw=-24.5061) pos=-0.3185 siz=-1.2475 ori=-1.4040 vel=-0.0796 nis=0.3605 ua=1.00 contrast=0.1483 | val=-23.7956 val_pos=-0.2903 | k_m=5.32 k_s=0.42 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:39:06 [INFO] Epoch 22/100 (446.6s) | loss=-24.5930 (raw=-24.5607) pos=-0.3209 siz=-1.2471 ori=-1.4038 vel=-0.0806 nis=0.3603 ua=1.00 contrast=0.1516 | val=-23.7382 val_pos=-0.2881 | k_m=5.33 k_s=0.42 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:47:01 [INFO] Epoch 23/100 (448.6s) | loss=-24.5595 (raw=-24.5283) pos=-0.3193 siz=-1.2479 ori=-1.4040 vel=-0.0802 nis=0.3603 ua=1.00 contrast=0.1466 | val=-23.8410 val_pos=-0.2920 | k_m=5.32 k_s=0.43 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:54:56 [INFO] Epoch 24/100 (448.7s) | loss=-24.6315 (raw=-24.6016) pos=-0.3224 siz=-1.2474 ori=-1.4036 vel=-0.0815 nis=0.3603 ua=1.00 contrast=0.1409 | val=-23.7772 val_pos=-0.2894 | k_m=5.32 k_s=0.43 k_reg=0.0018 dp_reg=0.0000 | NaN=0
02:03:02 [INFO] Epoch 25/100 (460.1s) | loss=-24.5993 (raw=-24.5696) pos=-0.3212 siz=-1.2476 ori=-1.4032 vel=-0.0809 nis=0.3602 ua=1.00 contrast=0.1401 | val=-23.8032 val_pos=-0.2907 | k_m=5.31 k_s=0.43 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:11:02 [INFO] Epoch 26/100 (452.1s) | loss=-24.6195 (raw=-24.5901) pos=-0.3217 siz=-1.2473 ori=-1.4043 vel=-0.0809 nis=0.3602 ua=1.00 contrast=0.1385 | val=-23.7223 val_pos=-0.2874 | k_m=5.30 k_s=0.42 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:19:12 [INFO] Epoch 27/100 (462.4s) | loss=-24.5913 (raw=-24.5626) pos=-0.3206 siz=-1.2480 ori=-1.4038 vel=-0.0810 nis=0.3602 ua=1.00 contrast=0.1353 | val=-23.7540 val_pos=-0.2886 | k_m=5.31 k_s=0.43 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:27:04 [INFO] Epoch 28/100 (444.7s) | loss=-24.6536 (raw=-24.6251) pos=-0.3230 siz=-1.2475 ori=-1.4044 vel=-0.0818 nis=0.3600 ua=1.00 contrast=0.1340 | val=-23.9551 val_pos=-0.2963 | k_m=5.30 k_s=0.43 k_reg=0.0017 dp_reg=0.0000 | NaN=0
